"Student_ID","First_Name","Last_Name","Age","Gender","Course","Enrollment_Date","Total_Payments"
"101","John","Smith","22","M","Data Science","2022-05-15",1200
"102","Emily","Johnson","24","F","Machine Learnin","2022-03-18",1400
"103","Michael","Williams","21","M","Data Science","2022-06-25",900
"104","Sarah","Brown","23","F","Data Science",NA,1100
"105","David","Davis","20","M","Web Developmen","2021-09-10",950
"106","Jessica","Miller","25","F","Machine Learnin","2022-04-22",1300
"107","Brian","Wilson","19","M","Data Science","2022-07-02",1000
"108","Amanda","Taylor","22","F","Machine Learnin","2022-08-15",1200
"109","William","Anderson","24","M","Data Science","2022-01-10",950
"110","Olivia","Martinez","26","F","Data Science","2023-02-28",1150
"111","Williams","Smith","22","M","Data Science","2022-05-15",1200
"112","Emily","Emodi","24","F","Machine Learning","2022-03-18",1400
"113","Esther","Adams","21","M","Data Science","2022-06-25",900
"114","Sarah","Brown","23","F","Data Science",NA,1100
"115","David","Davis","20","M","Web Development","2021-09-10",950
"Davis","Davis","Brown","","M 25","Data Analytics","05-09-23",20
"Anita","Anita","West","","F 24","4","05-01-20",30
"Olawale Akintola","Olawale Akintola","","","M 20","Web Developmet","05-08-21",30
"Wike","Wike","Akintola","","M 25","","06-05-22",36
"","","Leke","","M 21","","07-09-23",40
"Ayodele","Ayodele","","F","18","Machine Learning","08-09-23",37
"","","","M","25","","09-09-22",37
"","","","F","25","","10-09-21",37
"","","","","","","11-09-21",NA
"101","Ethan","Miller","22","M","Data Science","2022-05-15",1200101
"Ethan","Miller","22","M","Data Science","2022-05-15","$1200,,,,,,",NA
"102","Olivia","Johnson","24","F","Machine Learning","2022-03-18",1400102
"Olivia","Johnson","24","F","Machine Learning","2022-03-18","$1400,,,,,,",NA
"103","Noah","Williams","21","M","Data Science","2022-06-25",900103
"Noah","Williams","21","M","Data Science","2022-06-25","$900,,,,,,",NA
"104","Emma","Brown","23","F","Data Science",NA,1100104
"Emma","Brown","23","F","Data Science",NA,"$1100,,,,,,",NA
"105","Liam","Davis","20","M","Web Development","2021-09-10",950105
"Liam","Davis","20","M","Web Development","2021-09-10","$950,,,,,,",NA
"106","Ava","Miller","25","F","Machine Learning","2022-04-22",1300106
"Ava","Miller","25","F","Machine Learning","2022-04-22","$1300,,,,,,",NA
"107","William","Wilson","19","M","Data Science","2022-07-02",1000107
"William","Wilson","19","M","Data Science","2022-07-02","$1000,,,,,,",NA
"108","Sophia","Taylor","22","F","Machine Learning","2022-08-15",1200108
"Sophia","Taylor","22","F","Machine Learning","2022-08-15","$1200,,,,,,",NA
"109","James","Anderson","24","M","Data Science","2022-01-10",950109
"James","Anderson","24","M","Data Science","2022-01-10","$950,,,,,,",NA
"110","Isabella","Martinez","26","F","Data Science","2023-02-28",1150110
"Isabella","Martinez","26","F","Data Science","2023-02-28","$1150,,,,,,",NA
"500","Jackson","Murphy","21","M","Web Development","2023-06-05",1050500
"Jackson","Murphy","21","M","Web Development","2023-06-05","$1050,,,,,,",NA
"Joseph","Joseph","Williams","22","F 24","Machine Learning","08-01-23",20
"Kylian","Kylian","Eden","78*","M","Machine Learning","08-01-24",20
"Esther","Esther","Naomi","21*","F","Machine Learning","08-01-22",20
